Structure;Propriétaire;Raison sociale;Nom;Ligne de commentaire;Contact principal;Civilité;Adresse électronique 1;Adresse électronique 2;Portable;Téléphone 1;Téléphone 2;Téléphone 3;Ville;État;Pays;Ligne d'adresse 1;Ligne d'adresse 2;Ligne d'adresse 3;Code Postal;Langue préférée;3 - Vos intérêts culturels;Domaine d'activité;Professionnel du spectacle;Partenaire;Vidy;Direction;Envoi;Tag;Médiation;2 - Newsletters spécifiques;1 - Newsletter générale (1x/semaine);Accepter les messages életroniques de l'institution;Courrier;Email;Remarque
712497;VIDY_MAO;THÉÂTRE VIDY-LAUSANNE;THÉÂTRE VIDY-LAUSANNE;;716834;;info@vidy.ch;;;;;;Lausanne;;Suisse;Avenue Jaques-Dalcroze 5;;;1007;fr;;;;;;;;;;;;F;F;F;
277;IMPCTCT_GLPI25896;REVUE LEHAIM;REVUE LEHAIM;;;;contact@tsafon-revue.com;;;;;;;;;;;;;fr;;;;;;;;;;;;T;;T;
318;IMPCTCT_GLPI25896;THEATRE DU CASINO/LE LOCLE;THEATRE DU CASINO/LE LOCLE;;;;programmation@grange-casino.ch;;;41329315673;;;Le Locle;;Suisse;Av. du Technicum 1;;;2400;fr;;;;;;;;;;;;T;;T;
329;IMPCTCT_GLPI25896;CINETOILE MALLEY LUMIERE;CINETOILE MALLEY LUMIERE;;;;administration@cinetoile.ch;info@cinetoile.ch;;41216218820;;;Lausanne;;Suisse;Chemin du Viaduc 1;;;1008;fr;;;;;;;;RelaisDirPublics envoinb20 EnvoiKIDS;;;;T;;T;Rattaché à la raison sociale CINE QUA NON S.A.
334;IMPCTCT_GLPI25896;L'AVANT-SEINE COLOMBES;L'AVANT-SEINE COLOMBES;;;;samia.doukali@lavant-seine.com;;;33156050076;;;COLOMBES;;France;88 Rue Saint-Denis;Parvis Des Droits De L'Homme;;92700;fr;;;;;;;;;;;;T;;T;
357;IMPCTCT_GLPI25896;MURMURES MAGAZINE;MURMURES MAGAZINE;;;;info@murmures.info;;;41227962361;;;Genève 1;;Suisse;CP54;;;1211;fr;;;;;;;;;;;;T;;T;
370;IMPCTCT_GLPI25896;CAMPING DE VIDY;CAMPING DE VIDY;;;;info@clv.ch;;;41216225000;;;Lausanne;;Suisse;Chemin du Camping 3;;;1007;fr;;;;;;;;;;;;T;;T;
371;IMPCTCT_GLPI25896;VAUDOISE ASSURANCE;VAUDOISE ASSURANCE;;312126;;info@vaudoise.ch;;;41216188080;;;Lausanne;;Suisse;Case Postale 120;PLACE DE MILAN;;1001;fr;;;;PartCom,Rech;;;;;;;;T;;T;
399;IMPCTCT_GLPI25896;MGR LUXURY GROUP SA;MGR LUXURY GROUP SA;;;;;;;41323293400;;;Bienne;;Suisse;Bahnhofpl. 2B;;;2502;fr;;;;;;;;;;;;T;;T;
420;IMPCTCT_GLPI25896;THEATRE DE RUNGIS;THEATRE DE RUNGIS;;;;accueil@theatre-rungis.fr;;;33145607900;;;RUNGIS;;France;1 Place du Général de Gaulle;;;94150;fr;;;;;;;;;;;;T;;T;
454;IMPCTCT_GLPI25896;THEATRE DE L'AQUARIUM;THEATRE DE L'AQUARIUM;;;;theatredelaquarium@wanadoo.fr;;;33143747274;;;PARIS;;France;Route du Champ de Manoeuvres;la Cartoucherie;;75012;fr;;;;;;;;;;;;T;;T;
290009;IMPCTCT_GLPI25896;VENOGE FESTIVAL;VENOGE FESTIVAL;;;;info@venogefestival.ch;;;;;;Prangins;;Suisse;;;;1197;fr;;;;;;;;;;;;F;;T;Double info
290023;IMPCTCT_GLPI25896;CHALET DES 4 SAISONS;CHALET DES 4 SAISONS;;;;;;;;;;Bussy-Chardonney;;Suisse;;;;1136;fr;;;;;;;;;;;;T;;T;Double info
290034;IMPCTCT_GLPI25896;THEATRE ESCARBOUCLE;THEATRE ESCARBOUCLE;;;;al.prudat@theatre-escarboucle.ch;;;;;;Bussigny-Lausanne;;Suisse;Chemin de la Potteilaz 4;;;1030;fr;;;;;;;;;;;;T;;T;Double info
290056;IMPCTCT_GLPI25896;MAGAZINE GENERATIONS PLUS;MAGAZINE GENERATIONS PLUS;;;;abo@generations-plus.ch;;;;;;Lausanne;;Suisse;RUE DES FONTENAILLES 16;;;1007;fr;;;;;;;;;;;;T;;T;
290064;IMPCTCT_GLPI25896;THEATRE INDIGO;THEATRE INDIGO;;;;clarisse-hagenmuller@orange.fr;;;;;;STRASBOURG;;France;Rue Rabelais 30;;;67200;fr;;;;;;;;;;;;T;;T;
290093;IMPCTCT_GLPI25896;VIDY MED;VIDY MED;;;;direction@vidymed.ch;;;;;;Lausanne;;Suisse;Rte de Chavannes 11;;;1007;fr;;;;ProsClub;;;;;;;;T;;T;
290095;IMPCTCT_GLPI25896;CTR HOPITAL DE CHAMBLON;CTR HOPITAL DE CHAMBLON;;;;info@ehnv.ch;;;;;;Chamblon;;Suisse;Route de l'Hôpital 3;;;1436;fr;;;;;;;;;;;;T;;T;
290097;IMPCTCT_GLPI25896;CLLINIQUE P. NIEHANS S.A.;CLLINIQUE P. NIEHANS S.A.;;;;infos@paulniehans.ch;;;;;;Vevey;;Suisse;Quai Perdonnet 3;;;1800;fr;;;;;;;;;;;;F;;T;
290099;IMPCTCT_GLPI25896;CENTRE MEDICO-PSY.;CENTRE MEDICO-PSY.;;;;;;;;;;Rolle;;Suisse;;;;1180;fr;;;;;;;;;;;;T;;T;
290103;IMPCTCT_GLPI25896;HOPITAL BEAUMONT;HOPITAL BEAUMONT;;;;info@chuv.ch;;;;;;Lausanne;;Suisse;Rue du Bugnon 29;;;1012;fr;;;;;;;;;;;;T;;T;
290109;IMPCTCT_GLPI25896;CHUV - Policlinique d'addictologie (POLADD);CHUV - POLADD;DP-CHUV;;;jacques.besson@inst.hospvd.ch;;;;;;Prilly;;Suisse;Route de Cery 1;;;1008;fr;;;;;;;;;;;;T;;T;
290113;IMPCTCT_GLPI25896;HOPITAL RIVIERA-CHABLAIS (SITE PROVIDENCE);HOPITAL RIVIERA-CHABLAIS;SITE PROVIDENCE;;;contact.hrc@hopitalrivierachablais.ch;;;;;;Vevey;;Suisse;Av. de la Prairie 3;;;1800;fr;;;;;;;;;;;;F;;T;
290121;IMPCTCT_GLPI25896;PHARMACIE DU CASINO SA.;PHARMACIE DU CASINO SA.;;;;pharmacie.neukomm@ovan.ch;;;;;;Montreux;;Suisse;Av. du Casion 53;;;1820;fr;;;;;;;;;;;;T;;T;
290123;IMPCTCT_GLPI25896;PHARMACIE DE LUCENS;PHARMACIE DE LUCENS;;;;contact@pharmacie-lucens.ch;;;;;;Lucens;;Suisse;Place de la Couronne 3;;;1522;fr;;;;;;;;;;;;F;;T;
290125;IMPCTCT_GLPI25896;PHARMACIE DE LEYSIN;PHARMACIE DE LEYSIN;;;;leysin@benupharmacie.ch;;;;;;Leysin;;Suisse;Av. Rollier;;;1854;fr;;;;;;;;;;;;T;;T;
290129;IMPCTCT_GLPI25896;PHARMACIE DE BIERE;PHARMACIE DE BIERE;;;;biere@benu.ch;;;;;;Bière;;Suisse;Rue du Flon 5;;;1145;fr;;;;;;;;;;;;T;;T;
290131;IMPCTCT_GLPI25896;PHARMACIE DU PONT DES SAUGES;PHARMACIE DU PONT DES SAUGES;;;;pharmasauges@ovan.ch;;;;;;Lausanne;;Suisse;Av. du Grey 58;;;1018;fr;;;;;;;;;;;;T;;T;
290133;IMPCTCT_GLPI25896;PHARMACIE DU SENTIER;PHARMACIE DU SENTIER;;;;sentier.vd@pharmacieplus.ch;;;;;;Le Sentier;;Suisse;Grande-Rue 44;;;1347;fr;;;;;;;;;;;;T;;T;
290135;IMPCTCT_GLPI25896;PHARMACIE LARDELLI;PHARMACIE LARDELLI;;;;pharmacie.lardelli@mail.com;;;;;;Lausanne;;Suisse;Av. Juste-Olivier 5;;;1006;fr;;;;;;;;;;;;T;;T;
